,Grid Point
0,"(-1.0, -1.0)"
1,"(-1.0, -0.9555555555555556)"
2,"(-1.0, -0.9111111111111111)"
3,"(-1.0, -0.8666666666666667)"
4,"(-1.0, -0.8222222222222222)"
5,"(-1.0, -0.7777777777777778)"
6,"(-1.0, -0.7333333333333334)"
7,"(-1.0, -0.6888888888888889)"
8,"(-1.0, -0.6444444444444444)"
9,"(-1.0, -0.6)"
10,"(-1.0, -0.5555555555555556)"
11,"(-1.0, -0.5111111111111111)"
12,"(-1.0, -0.4666666666666667)"
13,"(-1.0, -0.42222222222222217)"
14,"(-1.0, -0.37777777777777777)"
15,"(-1.0, -0.33333333333333326)"
16,"(-1.0, -0.28888888888888886)"
17,"(-1.0, -0.24444444444444446)"
18,"(-1.0, -0.19999999999999996)"
19,"(-1.0, -0.15555555555555556)"
20,"(-1.0, -0.11111111111111105)"
21,"(-1.0, -0.06666666666666665)"
22,"(-1.0, -0.022222222222222143)"
23,"(-1.0, 0.022222222222222365)"
24,"(-1.0, 0.06666666666666665)"
25,"(-1.0, 0.11111111111111116)"
26,"(-1.0, 0.15555555555555567)"
27,"(-1.0, 0.19999999999999996)"
28,"(-1.0, 0.24444444444444446)"
29,"(-1.0, 0.288888888888889)"
30,"(-1.0, 0.3333333333333335)"
31,"(-1.0, 0.37777777777777777)"
32,"(-1.0, 0.4222222222222223)"
33,"(-1.0, 0.4666666666666668)"
34,"(-1.0, 0.5111111111111111)"
35,"(-1.0, 0.5555555555555556)"
36,"(-1.0, 0.6000000000000001)"
37,"(-1.0, 0.6444444444444446)"
38,"(-1.0, 0.6888888888888889)"
39,"(-1.0, 0.7333333333333334)"
40,"(-1.0, 0.7777777777777779)"
41,"(-1.0, 0.8222222222222222)"
42,"(-1.0, 0.8666666666666667)"
43,"(-1.0, 0.9111111111111112)"
44,"(-1.0, 0.9555555555555557)"
45,"(-1.0, 1.0)"
46,"(-0.9555555555555556, -1.0)"
47,"(-0.9555555555555556, -0.9555555555555556)"
48,"(-0.9555555555555556, -0.9111111111111111)"
49,"(-0.9555555555555556, -0.8666666666666667)"
50,"(-0.9555555555555556, -0.8222222222222222)"
51,"(-0.9555555555555556, -0.7777777777777778)"
52,"(-0.9555555555555556, -0.7333333333333334)"
53,"(-0.9555555555555556, -0.6888888888888889)"
54,"(-0.9555555555555556, -0.6444444444444444)"
55,"(-0.9555555555555556, -0.6)"
56,"(-0.9555555555555556, -0.5555555555555556)"
57,"(-0.9555555555555556, -0.5111111111111111)"
58,"(-0.9555555555555556, -0.4666666666666667)"
59,"(-0.9555555555555556, -0.42222222222222217)"
60,"(-0.9555555555555556, -0.37777777777777777)"
61,"(-0.9555555555555556, -0.33333333333333326)"
62,"(-0.9555555555555556, -0.28888888888888886)"
63,"(-0.9555555555555556, -0.24444444444444446)"
64,"(-0.9555555555555556, -0.19999999999999996)"
65,"(-0.9555555555555556, -0.15555555555555556)"
66,"(-0.9555555555555556, -0.11111111111111105)"
67,"(-0.9555555555555556, -0.06666666666666665)"
68,"(-0.9555555555555556, -0.022222222222222143)"
69,"(-0.9555555555555556, 0.022222222222222365)"
70,"(-0.9555555555555556, 0.06666666666666665)"
71,"(-0.9555555555555556, 0.11111111111111116)"
72,"(-0.9555555555555556, 0.15555555555555567)"
73,"(-0.9555555555555556, 0.19999999999999996)"
74,"(-0.9555555555555556, 0.24444444444444446)"
75,"(-0.9555555555555556, 0.288888888888889)"
76,"(-0.9555555555555556, 0.3333333333333335)"
77,"(-0.9555555555555556, 0.37777777777777777)"
78,"(-0.9555555555555556, 0.4222222222222223)"
79,"(-0.9555555555555556, 0.4666666666666668)"
80,"(-0.9555555555555556, 0.5111111111111111)"
81,"(-0.9555555555555556, 0.5555555555555556)"
82,"(-0.9555555555555556, 0.6000000000000001)"
83,"(-0.9555555555555556, 0.6444444444444446)"
84,"(-0.9555555555555556, 0.6888888888888889)"
85,"(-0.9555555555555556, 0.7333333333333334)"
86,"(-0.9555555555555556, 0.7777777777777779)"
87,"(-0.9555555555555556, 0.8222222222222222)"
88,"(-0.9555555555555556, 0.8666666666666667)"
89,"(-0.9555555555555556, 0.9111111111111112)"
90,"(-0.9555555555555556, 0.9555555555555557)"
91,"(-0.9555555555555556, 1.0)"
92,"(-0.9111111111111111, -1.0)"
93,"(-0.9111111111111111, -0.9555555555555556)"
94,"(-0.9111111111111111, -0.9111111111111111)"
95,"(-0.9111111111111111, -0.8666666666666667)"
96,"(-0.9111111111111111, -0.8222222222222222)"
97,"(-0.9111111111111111, -0.7777777777777778)"
98,"(-0.9111111111111111, -0.7333333333333334)"
99,"(-0.9111111111111111, -0.6888888888888889)"
100,"(-0.9111111111111111, -0.6444444444444444)"
101,"(-0.9111111111111111, -0.6)"
102,"(-0.9111111111111111, -0.5555555555555556)"
103,"(-0.9111111111111111, -0.5111111111111111)"
104,"(-0.9111111111111111, -0.4666666666666667)"
105,"(-0.9111111111111111, -0.42222222222222217)"
106,"(-0.9111111111111111, -0.37777777777777777)"
107,"(-0.9111111111111111, -0.33333333333333326)"
108,"(-0.9111111111111111, -0.28888888888888886)"
109,"(-0.9111111111111111, -0.24444444444444446)"
110,"(-0.9111111111111111, -0.19999999999999996)"
111,"(-0.9111111111111111, -0.15555555555555556)"
